timestamp,topic,lane.cross_track_error.data,lane.cross_track_error.__msgtype__
1777518313.0088003,/lane/cross_track_error,-0.18021465837955475,std_msgs/msg/Float32
1777518313.0413604,/lane/cross_track_error,-0.1793319582939148,std_msgs/msg/Float32
1777518313.0836647,/lane/cross_track_error,-0.17981529235839844,std_msgs/msg/Float32
1777518313.1229296,/lane/cross_track_error,-0.1793092042207718,std_msgs/msg/Float32
1777518313.1513212,/lane/cross_track_error,-0.23220956325531006,std_msgs/msg/Float32
1777518313.1728506,/lane/cross_track_error,-0.17960460484027863,std_msgs/msg/Float32
1777518313.1977382,/lane/cross_track_error,-0.1798235923051834,std_msgs/msg/Float32
1777518313.2221208,/lane/cross_track_error,-0.1798187494277954,std_msgs/msg/Float32
1777518313.2417269,/lane/cross_track_error,-0.1798235923051834,std_msgs/msg/Float32
1777518313.26383,/lane/cross_track_error,-0.17904877662658691,std_msgs/msg/Float32
1777518313.2831147,/lane/cross_track_error,-0.1793092042207718,std_msgs/msg/Float32
1777518313.3024793,/lane/cross_track_error,-0.23127669095993042,std_msgs/msg/Float32
1777518313.3225222,/lane/cross_track_error,-0.17747779190540314,std_msgs/msg/Float32
1777518313.3436673,/lane/cross_track_error,-0.23025992512702942,std_msgs/msg/Float32
1777518313.3649087,/lane/cross_track_error,-0.17818789184093475,std_msgs/msg/Float32
1777518313.385878,/lane/cross_track_error,-0.2243742197751999,std_msgs/msg/Float32
1777518313.4099073,/lane/cross_track_error,-0.2296590507030487,std_msgs/msg/Float32
1777518313.4453087,/lane/cross_track_error,-0.17766934633255005,std_msgs/msg/Float32
1777518313.4720984,/lane/cross_track_error,-0.17613188922405243,std_msgs/msg/Float32
1777518313.503793,/lane/cross_track_error,-0.1688125729560852,std_msgs/msg/Float32
1777518313.5365636,/lane/cross_track_error,-0.16652195155620575,std_msgs/msg/Float32
1777518313.5708094,/lane/cross_track_error,-0.16952404379844666,std_msgs/msg/Float32
1777518313.6038344,/lane/cross_track_error,-0.22577838599681854,std_msgs/msg/Float32
1777518313.6337583,/lane/cross_track_error,-0.17817743122577667,std_msgs/msg/Float32
1777518313.667545,/lane/cross_track_error,-0.23297162353992462,std_msgs/msg/Float32
1777518313.7032537,/lane/cross_track_error,-0.196900874376297,std_msgs/msg/Float32
1777518313.7349374,/lane/cross_track_error,-0.1983277052640915,std_msgs/msg/Float32
1777518313.805976,/lane/cross_track_error,-0.20645838975906372,std_msgs/msg/Float32
1777518313.8345926,/lane/cross_track_error,-0.2110453099012375,std_msgs/msg/Float32
1777518313.858724,/lane/cross_track_error,-0.22109200060367584,std_msgs/msg/Float32
1777518313.879834,/lane/cross_track_error,-0.22415922582149506,std_msgs/msg/Float32
1777518313.9107072,/lane/cross_track_error,-0.23931194841861725,std_msgs/msg/Float32
1777518313.9399455,/lane/cross_track_error,-0.2812018394470215,std_msgs/msg/Float32
1777518313.9870913,/lane/cross_track_error,0.09816735237836838,std_msgs/msg/Float32
1777518314.0103242,/lane/cross_track_error,-0.26165497303009033,std_msgs/msg/Float32
1777518314.0468705,/lane/cross_track_error,0.06092741712927818,std_msgs/msg/Float32
1777518314.077164,/lane/cross_track_error,0.05107184126973152,std_msgs/msg/Float32
1777518314.108348,/lane/cross_track_error,-0.3005398213863373,std_msgs/msg/Float32
1777518314.154596,/lane/cross_track_error,0.013189195655286312,std_msgs/msg/Float32
1777518314.1781979,/lane/cross_track_error,-0.026283686980605125,std_msgs/msg/Float32
1777518314.2097802,/lane/cross_track_error,-0.004222397692501545,std_msgs/msg/Float32
1777518314.2421076,/lane/cross_track_error,-0.06110554561018944,std_msgs/msg/Float32
1777518314.2771683,/lane/cross_track_error,-0.05420259013772011,std_msgs/msg/Float32
1777518314.3071797,/lane/cross_track_error,-0.39635494351387024,std_msgs/msg/Float32
