timestamp,topic,lane.cross_track_error.data,lane.cross_track_error.__msgtype__
1777518350.6400995,/lane/cross_track_error,0.19110162556171417,std_msgs/msg/Float32
1777518350.6692176,/lane/cross_track_error,0.18789416551589966,std_msgs/msg/Float32
1777518350.7021053,/lane/cross_track_error,0.18697787821292877,std_msgs/msg/Float32
1777518350.734803,/lane/cross_track_error,0.18890732526779175,std_msgs/msg/Float32
1777518350.7681162,/lane/cross_track_error,0.18780888617038727,std_msgs/msg/Float32
1777518350.8016977,/lane/cross_track_error,0.18869483470916748,std_msgs/msg/Float32
1777518350.835508,/lane/cross_track_error,0.18915437161922455,std_msgs/msg/Float32
1777518350.8698304,/lane/cross_track_error,0.24566484987735748,std_msgs/msg/Float32
1777518350.9021301,/lane/cross_track_error,0.24566565454006195,std_msgs/msg/Float32
1777518350.937472,/lane/cross_track_error,0.18879631161689758,std_msgs/msg/Float32
1777518350.969593,/lane/cross_track_error,0.24499289691448212,std_msgs/msg/Float32
1777518351.0026534,/lane/cross_track_error,0.18868829309940338,std_msgs/msg/Float32
1777518351.0366793,/lane/cross_track_error,0.18836434185504913,std_msgs/msg/Float32
1777518351.0695019,/lane/cross_track_error,0.18922321498394012,std_msgs/msg/Float32
1777518351.1091158,/lane/cross_track_error,0.1886236071586609,std_msgs/msg/Float32
1777518351.1382654,/lane/cross_track_error,0.18887802958488464,std_msgs/msg/Float32
1777518351.1695378,/lane/cross_track_error,0.24548394978046417,std_msgs/msg/Float32
1777518351.2064295,/lane/cross_track_error,0.18839262425899506,std_msgs/msg/Float32
1777518351.2440927,/lane/cross_track_error,0.18876217305660248,std_msgs/msg/Float32
1777518351.2817557,/lane/cross_track_error,0.2457364946603775,std_msgs/msg/Float32
1777518351.3050673,/lane/cross_track_error,0.244706928730011,std_msgs/msg/Float32
1777518351.3390253,/lane/cross_track_error,0.18977171182632446,std_msgs/msg/Float32
1777518351.3709922,/lane/cross_track_error,0.18759514391422272,std_msgs/msg/Float32
1777518351.4044733,/lane/cross_track_error,0.18568822741508484,std_msgs/msg/Float32
1777518351.441788,/lane/cross_track_error,0.18942540884017944,std_msgs/msg/Float32
1777518351.4716587,/lane/cross_track_error,0.18851915001869202,std_msgs/msg/Float32
1777518351.5051975,/lane/cross_track_error,0.18839043378829956,std_msgs/msg/Float32
1777518351.5386574,/lane/cross_track_error,0.24416016042232513,std_msgs/msg/Float32
1777518351.57056,/lane/cross_track_error,0.24581466615200043,std_msgs/msg/Float32
1777518351.6089668,/lane/cross_track_error,0.18873433768749237,std_msgs/msg/Float32
1777518351.64331,/lane/cross_track_error,0.24496634304523468,std_msgs/msg/Float32
1777518351.6753316,/lane/cross_track_error,0.24561625719070435,std_msgs/msg/Float32
1777518351.7094269,/lane/cross_track_error,0.18885421752929688,std_msgs/msg/Float32
1777518351.741955,/lane/cross_track_error,0.1862785518169403,std_msgs/msg/Float32
1777518351.7759578,/lane/cross_track_error,0.18870480358600616,std_msgs/msg/Float32
1777518351.810547,/lane/cross_track_error,0.18760758638381958,std_msgs/msg/Float32
1777518351.8383455,/lane/cross_track_error,0.18852576613426208,std_msgs/msg/Float32
1777518351.8729172,/lane/cross_track_error,0.18800818920135498,std_msgs/msg/Float32
1777518351.9093387,/lane/cross_track_error,0.18681317567825317,std_msgs/msg/Float32
1777518351.9402864,/lane/cross_track_error,0.18911580741405487,std_msgs/msg/Float32
1777518351.9730785,/lane/cross_track_error,0.24530120193958282,std_msgs/msg/Float32
1777518352.0113597,/lane/cross_track_error,0.18849292397499084,std_msgs/msg/Float32
1777518352.0437849,/lane/cross_track_error,0.18701593577861786,std_msgs/msg/Float32
1777518352.074152,/lane/cross_track_error,0.18904843926429749,std_msgs/msg/Float32
1777518352.1071017,/lane/cross_track_error,0.18896450102329254,std_msgs/msg/Float32
1777518352.1399088,/lane/cross_track_error,0.24600845575332642,std_msgs/msg/Float32
1777518352.1740718,/lane/cross_track_error,0.1873830109834671,std_msgs/msg/Float32
1777518352.2088504,/lane/cross_track_error,0.24499884247779846,std_msgs/msg/Float32
1777518352.2518797,/lane/cross_track_error,0.1889844685792923,std_msgs/msg/Float32
1777518352.2874413,/lane/cross_track_error,0.18802352249622345,std_msgs/msg/Float32
1777518352.310037,/lane/cross_track_error,0.18799878656864166,std_msgs/msg/Float32
1777518352.3532267,/lane/cross_track_error,0.18868958950042725,std_msgs/msg/Float32
1777518352.3870118,/lane/cross_track_error,0.18914759159088135,std_msgs/msg/Float32
1777518352.4091997,/lane/cross_track_error,0.18755386769771576,std_msgs/msg/Float32
1777518352.4418359,/lane/cross_track_error,0.18870876729488373,std_msgs/msg/Float32
1777518352.4744911,/lane/cross_track_error,0.18906642496585846,std_msgs/msg/Float32
1777518352.5082808,/lane/cross_track_error,0.18790599703788757,std_msgs/msg/Float32
1777518352.543453,/lane/cross_track_error,0.18929335474967957,std_msgs/msg/Float32
1777518352.575716,/lane/cross_track_error,0.18932226300239563,std_msgs/msg/Float32
1777518352.6090252,/lane/cross_track_error,0.18399040400981903,std_msgs/msg/Float32
1777518352.6439419,/lane/cross_track_error,0.18718039989471436,std_msgs/msg/Float32
1777518352.6784854,/lane/cross_track_error,0.18481172621250153,std_msgs/msg/Float32
1777518352.7119255,/lane/cross_track_error,0.23396295309066772,std_msgs/msg/Float32
1777518352.740854,/lane/cross_track_error,0.18090353906154633,std_msgs/msg/Float32
1777518352.7763245,/lane/cross_track_error,0.18062305450439453,std_msgs/msg/Float32
